word,N
news,19802
comp,9350
6,7861
2,6771
10,6515
3,5902
5,5807
12,5573
abc,5544
sat,5197
1,5191
7,5122
illegible,5008
11,4894
the,4854
sun,4720
9,4664
lehrer,4495
4,4480
comedy,4148
sunday,4127
am,4064
pm,4056
8,3827
30,3619
pbs,3467
nbc,3462
3pm,3409
cbs,3402
sic,3371
nbr,3275
nite,3241
11pm,2912
cnn,2478
line,2469
7am,2363
c,2363
2008,2271
ch,1950
0,1940
mcneil,1913
20,1787
fox,1737
of,1657
wk,1585
span,1573
s,1491
mon,1490
overnite,1477
bot,1414
oj,1376
oprah,1370
15,1265
group,1259
29,1257
in,1254
fri,1227
press,1211
i,1173
tv,1164
25,1162
00,1135
meet,1119
nation,1114
docu,1103
pt,1090
face,1072
on,1060
top,1054
st,1043
13,981
wash,973
19,963
wall,963
23,960
17,951
10pm,948
22,943
over,942
18,938
morning,918
26,917
campn,914
24,905
donahue,903
16,896
14,887
21,886
28,881
27,878
wed,871
b,856
book,823
mcl,801
family,788
niteline,784
6hr,773
world,762
week,733
cnbc,733
8pm,730
to,720
live,707
tue,707
show,697
a,696
bus,696
msnbc,690
new,669
e,652
day,641
booktv,630
brown,627
6pm,597
served,595
hr,592
this,586
fnn,586
96,585
firing,583
up,578
king,576
et,575
bbc,572
9am,558
9pm,556
31,546
being,544
10am,517
nova,513
prim,506
ii,500
brinkley,495
625,494
drama,488
all,488
9583333333333334,481
99,476
debate,471
home,460
macneil,458
cosby,443
at,432
phil,431
geraldo,431
house,424
bush,423
election,419
time,417
doc,412
primary,407
thu,406
apple,405
daily,404
hospital,400
97,400
friends,399
chronicle,388
m,384
clinton,380
nature,375
8hr,370
dow,365
war,363
t,360
for,358
larry,356
60,356
6am,356
sp,356
night,351
thurs,351
general,350
who,348
by,348
w,346
cheers,345
you,343
2009,342
6hrs,342
science,338
1pm,338
kuralt,337
simpsons,336
life,329
documentaries,328
down,326
tech,324
step,324
married,321
7pm,318
93,316
86,314
murphy,314
roseanne,314
98,310
05,309
88,308
l,302
good,294
01,294
women,291
rpt,289
about,285
2pm,285
tues,283
primaries,282
seinfeld,278
date,274
funniest,273
living,272
02,272
computers,271
bill,269
smith,269
adam,262
5pm,259
golden,258
eve,254
business,253
mr,252
america,251
mac,251
p,250
87,249
simpson,247
91,246
90,245
d,245
dr,244
phila,243
tony,242
computer,240
health,237
east,236
videos,235
sci,233
b3,232
pres,230
mad,229
wonder,227
1hr,227
cspan,225
obama,224
girls,224
ethics,223
jackson,222
45,220
coach,220
92,220
8am,219
iraq,219
misc,219
saturday,218
court,218
elect,215
89,215
report,211
4pm,211
people,210
color,210
x,209
today,208
wings,205
each,205
enders,204
nick,204
matters,203
full,202
sally,201
love,200
media,200
b2,198
pi,197
r,197
city,196
msft,196
o,195
special,194
rep,194
head,192
prime,192
12m,191
great,190
30pm,188
nanny,188
rock,188
educ,187
ties,186
black,185
n,185
ms,185
dem,184
boston,181
incorrect,181
years,180
front,178
03,178
ecl,178
nl,177
1am,177
rush,177
hol,176
american,176
woman,175
2916666666666667,174
telecourses,174
chron,173
and,171
hearing,171
40,171
john,170
close,168
11am,168
ellen,167
part,165
martin,164
prince,164
h,162
fresh,162
text,161
man,161
conf,161
94,161
overnight,160
senate,160
jesse,160
brit,160
morn,159
12n,158
boss,157
3rd,156
cnnfn,155
grodin,154
hillary,153
back,153
nest,153
animals,152
it,151
trial,151
dynasty,150
u,150
nitely,150
frazier,149
africa,149
talk,149
30am,148
empty,148
04,147
50,147
grace,146
dave,146
caroline,146
me,145
limbaugh,145
hour,144
iran,144
us,142
single,142
race,141
space,139
min,137
g,137
hrs,135
too,134
nat,134
nightline,134
politically,134
money,134
hill,133
hearings,133
newhart,133
nsd,133
reagan,131
growing,131
state,130
conv,130
amer,129
tape,128
com,128
sister,128
pains,128
des,128
frontline,127
boy,125
mag,125
iii,124
minutes,123
star,122
masterpiece,121
out,121
cooper,121
theater,120
are,120
hardball,119
227,119
dif,119
v,118
common,118
cont,117
files,117
co,116
my,116
coms,116
kate,116
chris,115
hayes,115
elian,115
python,114
pa,114
improv,114
strangers,113
books,113
etc,113
evening,113
one,112
monty,112
your,111
2am,111
techtv,110
wsj,110
amen,110
jobs,110
gen,109
comedies,109
rose,109
chronicles,108
union,108
david,108
imus,108
steve,107
microsoft,106
story,105
last,105
fire,105
y2k,105
7a,104
perfect,103
allie,103
j,103
class,103
rept,103
mcn,102
joe,101
mystery,100
blossom,100
2hr,99
aids,99
something,98
moyers,98
verdict,97
bob,96
dateline,96
comfort,95
ann,95
journal,94
super,94
say,93
israel,93
herman,93
1st,92
stewart,92
facts,92
pol,92
end,92
shade,92
not,91
peace,91
la,91
5am,91
alf,91
utley,91
after,90
gore,90
year,90
44,90
wild,89
anniv,89
roc,89
small,88
aapl,88
meets,88
reilly,88
un,87
charlie,87
f,86
old,86
dad,86
that,85
or,85
letterman,85
snl,85
future,85
drew,85
tracey,84
crisis,84
inside,84
4am,84
now,84
3am,84
lewis,83
times,82
vote,82
2010,82
our,81
no,81
pr,80
spec,80
road,80
impr,80
ct,79
kennedy,79
brother,79
with,79
summit,79
major,77
national,77
child,77
china,77
85,76
mark,76
testimony,76
35,76
god,76
mars,76
human,75
convention,74
congress,74
matthews,74
parker,74
notes,73
trek,73
post,73
boys,73
movie,72
thomas,72
michael,72
geo,72
video,72
rights,72
action,71
true,71
re,71
bloopers,70
lehr,70
keeping,70
hope,70
impeach,70
from,69
law,69
sisters,69
big,69
polit,69
liv,69
japan,68
sen,68
fn,68
gates,68
geographic,67
central,67
soap,67
improvement,67
sex,67
planet,67
tapes,67
be,66
mclaughlin,66
is,66
london,66
nsdq,66
fuhrman,66
quake,65
repeat,65
juraldo,65
tlc,65
label,64
holiday,64
wh,64
supr,64
iv,64
break,64
thur,64
northern,64
cc,64
queens,64
starr,64
fla,64
illegiable,64
speech,63
shooting,63
jr,63
get,63
cia,63
nurses,63
expo,63
watch,63
shuttle,62
vs,62
generations,62
under,62
baby,61
final,61
int,61
aol,61
innovation,60
mem,60
tucker,60
2hrs,60
exposure,60
internet,60
jon,59
marathon,59
ff,59
radio,59
awards,59
fam,59
econ,59
colors,59
drugs,59
tonite,59
do,59
note,58
other,58
earth,58
buchanan,58
15pm,58
ch7,58
dear,58
grp,58
dinosaurs,58
carey,58
christmas,57
07,57
moyer,57
experience,57
children,57
zone,57
pre,57
fr,57
fun,57
right,56
school,56
demo,56
82,56
march,56
iowa,55
frasier,55
monitor,55
next,54
jfk,54
north,54
al,54
benson,54
red,54
kids,54
waiting,54
fbi,54
06,54
ed,54
mandela,54
08,53
00am,53
work,53
wins,53
ch5,53
spin,53
00pm,52
81,52
mind,52
sch,52
cloning,52
where,52
off,52
k,52
cybil,52
75,52
greenspan,52
ufo,51
38,51
2nd,51
leno,51
how,51
cross,51
power,50
leh,50
review,50
julia,50
labor,50
ma,50
olympics,49
mrs,49
tom,49
gimme,49
town,49
search,49
art,49
80,49
inc,49
duet,49
men,49
span2,49
gulf,49
raymond,49
vid,49
carol,48
south,48
getting,48
55,48
howser,48
kua,48
game,47
comm,47
gourmet,47
budget,47
dot,47
edition,47
see,46
benny,46
95,46
macn,46
jones,46
bu,46
tgif,46
mtg,46
designing,46
plan,46
issues,46
street,45
doctor,45
high,45
century,45
hist,45
easter,45
bloomberg,45
racism,45
limb,45
smithsonian,44
egypt,44
playhouse,44
br,44
30m,44
gary,44
monica,44
crash,44
just,44
mary,44
republican,44
contras,44
travels,44
mkt,44
religion,43
frugal,43
civil,43
british,43
dw,43
showcase,43
colbert,43
tonight,43
ted,43
dna,43
west,42
camp,42
resigns,42
open,42
yr,42
white,42
susan,42
guy,42
twilight,42
food,42
foot,42
stock,42
sniper,42
journey,42
perot,42
crossfire,42
rel,42
clock,42
doogie,42
30a,42
waltons,41
best,41
universe,41
oliver,41
contra,41
george,41
imp,41
gay,41
affair,41
deal,41
ground,41
global,41
eye,41
they,41
washington,41
arrow,41
heart,41
an,40
two,40
democratic,40
can,40
ny,40
ch4,40
yrs,40
bl,40
sources,40
repub,40
yes,40
ent,40
20th,40
sinbad,40
contrary,40
performances,39
born,39
music,39
malcolm,39
09,39
wisconsin,39
place,39
charles,39
different,39
making,39
gold,39
arab,39
pope,39
jury,39
yahoo,39
blizzard,39
perf,39
as,38
proof,38
mother,38
entertainment,38
intv,38
girl,38
carter,38
free,38
ch2,38
reliable,38
2011,38
first,38
son,38
millenium,38
waco,38
summer,37
nightly,37
india,37
bktv,37
msd,37
anti,37
8333333333333334,37
rainbow,37
contact,37
season,37
gr,37
wto,37
peter,36
arafat,36
4th,36
12pm,36
dinner,36
body,36
water,36
wrong,36
palin,36
83,36
adder,36
thanksgiving,36
fed,36
barbara,36
history,36
mass,36
sam,36
rally,36
hearts,36
apollo,36
both,35
russell,35
45pm,35
15am,35
urban,35
days,35
rev,35
gaza,35
miss,35
bk,35
carlin,35
vp,35
tool,35
police,35
cspan2,35
defense,35
debt,35
mama,34
8hrs,34
call,34
100,34
manor,34
ullman,34
ufos,34
we,34
going,34
disc,34
colby,33
hbo,33
quest,33
what,33
texas,33
mccain,33
kerry,33
dick,33
late,33
hi,32
chef,32
burden,32
digital,32
bank,32
usa,32
libya,32
little,32
webster,32
moon,32
harvard,32
33,32
bailout,32
con,32
frost,32
james,32
russert,32
hdln,32
thirty,32
ca,32
exper,32
mommies,32
inaug,32
powell,32
000,32
romney,32
adler,32
iphone,32
dec,31
channel,31
will,31
3hr,31
capitol,31
she,31
dream,31
drug,31
sea,31
rules,31
jack,31
th,31
xmas,31
vietnam,31
decision,31
nader,31
local,31
bell,31
reading,31
air,31
ibm,31
taped,31
weds,31
brothers,30
de,30
funeral,30
lost,30
84,30
age,30
er,30
amazing,30
anne,30
start,30
working,30
odyssey,30
walters,30
trump,30
room,30
sh,30
case,30
places,30
headline,30
justice,30
again,30
interview,30
sw,30
okla,30
kup,30
million,30
upstairs,29
12am,29
geog,29
duke,29
blue,29
green,29
dub,29
ideas,29
dads,29
500,29
network,29
katrina,29
lucy,29
van,29
father,29
its,29
western,29
wars,29
ancient,29
se,29
paul,29
reno,29
espn,29
wind,29
daddy,29
mat,28
things,28
downstairs,28
friday,28
dates,28
soviet,28
russia,28
jewish,28
10m,28
voyage,28
constitution,28
betty,28
degrassi,28
mid,28
rest,28
32,28
yhoo,28
hall,28
larroquette,28
ashcroft,28
hampshire,28
enron,28
stand,28
booknotes,28
incorr,28
thru,28
football,28
eclipse,28
bs,28
fired,28
cfnn,28
ans,28
mcloughlin,28
rituals,27
candidates,27
saddam,27
french,27
hollywood,27
creatures,27
guide,27
parents,27
president,27
vi,27
reaction,27
cooking,27
so,27
nyc,27
bombing,27
hubble,27
hard,27
supreme,27
sts,27
affirm,27
suicide,27
sc,27
thea,27
bridge,27
market,27
cochran,27
breakup,27
delta,27
mrx,27
haiti,27
dearest,27
rich,26
young,26
hussein,26
politics,26
intel,26
woods,26
gloria,26
da,26
blind,26
miller,26
875,26
rpr,26
caucus,26
ipod,26
act,26
belvedere,26
paula,26
nato,26
walk,26
record,26
truth,26
dole,26
diana,26
afr,26
real,26
five,26
july,25
only,25
adventure,25
palace,25
preview,25
congr,25
ford,25
railway,25
return,25
gingrich,25
address,25
but,25
commentary,25
tax,25
birthday,25
scandal,25
own,25
res,25
est,25
ball,25
lee,25
valerie,25
earn,25
eur,25
cable,25
naacp,25
netscape,25
doj,25
bradley,25
afire,25
40m,25
psych,25
ulman,25
jcn,25
hosp,24
stories,24
bishop,24
finale,24
dc,24
update,24
jane,24
hudson,24
20m,24
wkrp,24
90m,24
el,24
ireland,24
countdown,24
newt,24
away,24
mlk,24
friedan,24
anniversary,24
va,24
5416666666666666,24
foley,24
mc,24
closing,24
stocks,24
univ,24
ray,24
nasa,24
37,24
current,24
9a,24
says,23
works,23
there,23
nh,23
cheyney,23
48,23
orleans,23
36,23
occupy,23
journeys,23
film,23
tr,23
mo,23
elections,23
goes,23
sec,23
amzn,23
babes,23
mtv,23
oreilly,23
frank,23
ross,23
scan,23
protest,23
shoot,23
appeal,23
tripp,23
side,22
disney,22
nuclear,22
church,22
ch3,22
sharon,22
immigr,22
garden,22
specials,22
take,22
hart,22
heaven,22
15m,22
understanding,22
returns,22
marriage,22
fin,22
5833333333333334,22
land,22
ll,22
olympic,22
hogan,22
www,22
secret,22
39,22
earthquake,22
edge,22
launch,22
nobel,22
party,22
bomb,22
pencil,22
circled,22
rec,22
info,22
fh,22
6666666666666666,22
run,21
also,21
stem,21
given,21
kissinger,21
capital,21
society,21
violence,21
csp,21
42,21
busn,21
abortion,21
miracle,21
ben,21
prison,21
turkey,21
sp2,21
fly,21
almost,21
paris,21
ken,21
third,21
70,21
lou,21
ru,21
saved,21
comic,21
inauguration,21
imac,21
sf,21
faith,21
mysteries,21
seasons,21
bottom,21
ito,21
exam,21
deep,20
trip,20
jrnl,20
missed,20
pixar,20
dance,20
neighbors,20
johnny,20
presidential,20
beauty,20
korea,20
test,20
behavior,20
discover,20
gb,20
45am,20
05pm,20
30p,20
oil,20
memorial,20
101,20
jurors,20
wedding,20
half,20
sharpton,20
7916666666666666,20
10k,20
ad,20
65,20
lib,20
7083333333333334,20
1996,20
relig,20
jackie,20
he,20
wife,20
point,20
raphael,20
connie,20
jokes,20
wonderworks,19
death,19
dead,19
magic,19
famous,19
abt,19
box,19
debates,19
happy,19
ch44,19
believe,19
victory,19
cities,19
missing,19
club,19
company,19
practical,19
lawmakers,19
baker,19
go,19
seattle,19
masters,19
mom,19
bet,19
dancing,19
fraser,19
pbs12,19
ruling,19
pearl,19
juror,19
france,19
mar,19
hurricane,19
mcveigh,19
strokes,19
japanese,19
clark,19
through,19
macworld,19
gibson,19
naked,19
chung,19
witness,18
read,18
malcom,18
ohio,18
abuse,18
spy,18
poindexter,18
murder,18
3hrs,18
billy,18
master,18
ep,18
fi,18
early,18
beast,18
drop,18
europe,18
pt2,18
middle,18
most,18
car,18
tiger,18
rescue,18
travel,18
jews,18
scott,18
sneak,18
9166666666666666,18
prof,18
hse,18
30th,18
mins,18
lebanon,18
writing,18
blair,18
molly,18
moonlighting,18
way,18
comet,18
dobbs,18
movies,18
gang,18
welfare,18
prize,18
mich,18
nasdaq,18
equal,18
flying,18
pullout,18
towers,18
attack,18
discovery,18
laraquette,18
chas,18
critic,18
streets,18
may,17
scarecrow,17
mel,17
hours,17
auto,17
56,17
ml,17
moscow,17
henry,17
view,17
crime,17
word,17
military,17
save,17
whiz,17
animal,17
second,17
barney,17
lincoln,17
pe,17
bin,17
spring,17
noon,17
cavett,17
pride,17
dan,17
gerry,17
taxes,17
square,17
franklin,17
hannity,17
gov,17
colin,17
gate,17
funnies,17
faulty,17
mir,17
jerry,17
shore,17
center,17
winfrey,17
jesus,17
ba,17
maya,17
cand,17
jordan,17
radiation,17
tmx,17
quantum,17
leap,17
sonya,17
20833333333333334,17
shaky,17
4p,17
reich,17
mactv,17
cell,16
generation,16
sexual,16
brain,16
ron,16
campaign,16
wwii,16
paper,16
rather,16
play,16
economy,16
african,16
nothing,16
writers,16
laden,16
