Description - Program titles - any/all other information written out on tape label, N
NA, 19491
News 3PM, 1932
News 11PM, 1591
Comp, 1517
COMP, 1215
News, 768
(Sat), 745
(Sun), 556
0.625, 499
0.9583333333333334, 481
News 7AM, 481
Sunday, 435
Top, 375
(SAT), 370
TOP, 287
(SUN), 280
News ; 3PM, 276
2008 CAMPN, 254
Over Nite, 248
News 9PM, 233
Comp Bot, 212
News ; 11PM, 209
Overnite, 204
OVERNITE, 195
Fox News, 188
0.2916666666666667, 181
BOT, 161
News (Sat) 3PM, 119
Bot, 117
SUNDAY, 113
2008 Primaries, 113
NEWS, 111
Comp (Sun), 107
Comp (Sat), 104
2008 Campn, 104
[illegible], 102
News #1, 100
News 1PM, 95
(Sat/Sun) Over Nite, 92
2008 ELECTION, 82
2008 campn, 80
(Sun/Mon) Over Nite, 80
Comedy, 79
News (Sun) 3PM, 79
News 8PM, 79
BookTV, 74
News PBS-12 Lehrer | NBR | ABC-6 Nite Line, 73
Sat, 72
comp, 68
BOOK TV, 68
2008 PRIMARY, 68
(Mon), 66
Primary, 66
2008 Primary, 65
(Fri/Sat) Over Nite, 65
Misc, 65
(Hol), 64
(Wed), 64
(Fri), 63
News (Sun) 11PM, 63
?, 61
Comp ; Bot, 61
SAT, 59
(Sat/Sun) Overnite, 59
2008 PRIMARIES, 59
Telecourses, 58
News #2, 58
(Tue), 55
News ; 7AM, 54
News (Sat) 11PM, 53
News (Overnite) 7AM, 52
UNLABELED TAPE, 51
OJ News, 50
(Thurs), 50
News 7PM, 50
(sat), 47
(BookTV), 47
Book TV, 46
(Sun/Mon) Overnite, 46
0.75, 46
TELECOURSES, 43
Comp B, 42
Sun, 41
(MON), 41
(WED), 39
COMP BOT, 38
0.8333333333333334, 38
BookTV (Sun), 36
Fox News (Sat), 36
BookTV (Sat), 36
(FRI), 35
(Mon) (6hr), 35
News PM, 35
General Hospital, 34
News ; Lehrer | NBR, 34
News (Sat), 34
(Fri/Sat) Overnite, 33
2008 primary, 32
2008 election, 32
(sun), 32
(SAT/SUN) OVERNITE, 32
(Sunday), 32
(TUE), 32
Comp-B, 32
News 1AM, 32
Saturday, 31
COMP; BOT, 31
News AM, 31
News PBS-12 Lehrer | NBR | ABC-6 News | Nite Line, 31
COMEDY, 30
(SUN/MON) OVERNITE, 30
News Lehrer | NBR, 30
illegible, 29
2008 Prim, 29
Fox News (Sun), 29
(Fri) (6hr), 29
SUN, 28
0.875, 27
COMP (SAT), 26
COMP (Sat), 26
Tue ; 6hr, 26
Over nite, 25
2008 Election, 25
News ; 9PM, 25
Comp ; BOT, 25
(THURS), 24
(FRI/SAT) OVERNITE, 24
6hrs, 24
Are You Being Served?, 24
(Sat) BookTV, 24
PM, 24
(HOL), 23
COMP (Sun), 23
East Enders, 23
0.5416666666666666, 23
COMP, OVERNITE, 23
News ; 1PM, 23
News 11:30 AM, 23
0.5833333333333334, 22
2008 ELECT, 22
Generations, 22
News ; 8PM, 22
0.6666666666666666, 22
2009 (mon), 21
MON, 21
Comp; Bot, 21
COMP, BOT, 21
0.7916666666666666, 21
Thurs ; 6hr, 21
House Iraq Debate, 21
2009 (thurs), 20
(Wed) (6hr), 20
OVER NITE, 20
OJ NEWS, 20
0.7083333333333334, 20
COMP, (SUN), 20
Wed ; 6hr, 20
(BookTV) (Sun), 20
COMP (SUN), 19
0.9166666666666666, 19
(Sun) (BookTV), 19
(BOOK TV), 19
2008 PRIM, 19
(Thurs) 6hrs, 19
(Fri) 6hrs, 19
General Hospital [each date], 19
Comp 7AM, 19
News 5AM, 19
OJ, 18
Comp (Sat) Bot, 18
Comp ; (Sat), 18
THURS, 18
WED, 18
NEWS, 3 PM, 18
(Comp B), 18
0.20833333333333334, 18
Mon ; 6hr, 18
News PBS-12 Lehrer | NBR | ABC-6 Niteline, 18
News 8:30 PM, 18
News 6AM, 18
News 10PM, 18
Comp Over Nite, 18
News 2PM, 18
Dr. Who [each date], 18
General hospital, 17
(?), 17
2009.0, 17
2008 CAMPN (SAT), 17
News; Lehrer; NBR, 17
Book TV (Sun), 17
2009 ; (MON), 17
News 4PM, 17
2009 (wed), 16
Book TV (Sat), 16
BOOK TV (SUN), 16
Comp (Sun) Bot, 16
FRI, 16
Overnite 7AM, 16
Educ, 16
2009 (tue), 15
2008 prim, 15
(Mon) (8hr), 15
over nite, 15
0.6319444444444444, 15
blank label, 15
(Sun) BookTV, 15
News (Overnight) 7AM, 15
Comp Fox News, 15
Comp (Sat/Sun) Over Nite, 15
Comp 3PM, 15
2009 (fri), 14
(Tue) (6hr), 14
Fri/Sat Overnite, 14
(illegible), 14
2008 CAMP, 14
2009 ; (WED), 14
MISC, 14
(Wed) 6hrs, 14
WED 6 HR, 14
6PM |, 14
0.8125, 14
News 12M, 14
News 3AM, 14
Sep-Nov '94, 14
News (Sun), 13
EAST ENDERS, 13
COMP, (SAT), 13
(SUN) TOP, 13
0.08333333333333333, 13
COMP B, 13
0.7291666666666666, 13
News; 11pm, 13
fh, 13
0.041666666666666664, 13
(Sat) 6hrs, 13
Fri ; 6hrs, 13
News fnn, 13
Overnight, 12
(Book TV), 12
TUE, 12
Comp ; (Sun), 12
0.4166666666666667, 12
COMP-B, 12
0.6875, 12
Comp 11PM, 12
12M, 12
News (Sunday) 11PM, 12
News (Sunday) 3PM, 12
Tue 8hr, 12
(Sun) 6hrs, 12
(Tues) 6hrs, 12
SUN/MON, OVERNITE, 12
8PM |, 12
News [illegible], 12
Comp (Fri/Sat) Over Nite, 12
Comp 10PM Bot, 12
Comp Daily Show, 12
Dr. Who, 11
BOOK TV (SAT), 11
(Sun) Top, 11
2008 Campn., 11
DAILY SHOW, 11
NEWS 11PM, 11
2009 ; (THURS), 11
(Thur) (6hr), 11
NEWS, 11 PM, 11
News ; (Sat) ; 3PM, 11
COMP, Tucker, 11
Daily Show - Jon Stewart, 11
Thurs ; 6hrs, 11
(BookTV) (Sat), 11
Comp TechTV, 11
News #1 ch 4, 11
Sunday ; Reliable Sources, 11
News PBS 12 Lehrer | NBR | ABC-6 Niteline, 11
News 6PM, 11
(Wed) (8hr), 10
Soap, 10
Wed 6hr, 10
Tue 6hr, 10
Mon, 10
Book tv, 10
Illegible, 10
(Sat) Top, 10
Summer 1989, 10
(SUN) (BOOK TV), 10
(Overnite), 10
Sunday Fox News, 10
? ? 00 or 01, 10
Weds ; 6hrs, 10
0.8541666666666666, 10
News 5PM, 10
News PBS 12 Lehrer | NBR | ABC 6 Niteline, 10
Comp 8PM, 10
Sep-Dec '94, 10
(Tues), 9
(Thurs) (6hr), 9
Comp; bot, 9
Comp (BookTV), 9
2008 Elect., 9
2008 PRIMARY (SAT), 9
(OVERNITE), 9
6hr, 9
2009 ; (TUE), 9
BOOK TV (CONT'D), 9
0.7708333333333334, 9
Book Notes, 9
(Mon) 6hrs, 9
Thurs 8hr, 9
Sunday News, 9
(Sat) 3PM, 9
News ; 7PM, 9
8AM BookTV, 9
News PBS-12 Lehrer | NBR | Wash Wk | Wall St Wk | ABC-6 Nite Line, 9
News 2AM, 9
Misc Oct '92 / Dec '93, 9
Comp 2PM, 9
News 11:30 PM, 9
(SUNDAY), 8
Documentaries, 8
Daily Show, 8
Comp (sun) (book tv), 8
Comp (Sun) (BookTV), 8
0.6354166666666666, 8
(SAT) TOP, 8
2008 Prim (Sat), 8
NEWS, LEHRER NBR, 8
2008 CAMPN, (SAT), 8
SAT/SUN OVERNITE, 8
Larry King, 8
2009 ; (SAT), 8
BOOK TV, SAT, 8
Computers/Media, 8
News; 3pm, 8
AM, 8
0.25, 8
Drama - East Enders, 8
News McNeil Lehrer | NBR, 8
Brit Coms, 8
(Tue) (8hr), 8
THURS 6 HR, 8
FRI 6 HRS, 8
Tues ; 6hrs, 8
Docu, 8
10AM ||, 8
Comp (Sun/Mon) Over Nite, 8
News Overnite 7AM, 8
Misc 3PM, 8
News 7am    3pm, 8
COMP, Sun, 8
2008 campn (sat), 7
comp (sun), 7
comedy, 7
(Fri) (8hr), 7
COMP; (Sat), 7
2009, (WED), 7
2009 (SAT), 7
(mon), 7
(SAT) BOT, 7
Comp ; Overnite, 7
2008 Prim (Mon), 7
(TUES), 7
OVERNITE, 7 AM, 7
OJ News Geraldo, 7
*, 7
0.9652777777777778, 7
News PBS-12 Lehrer | NBR, 7
2009 ; (TUES), 7
2008 Elect, 7
NEWS | Lehrer | NBR, 7
SNL, 7
Fri 8hr, 7
Wed 8hr, 7
0.5208333333333334, 7
News - Nightline / Politically Incorrect, 7
CNNfn, 7
Sun/Mon Overnite, 7
(Book TV) (Sun), 7
Comp ; 7AM, 7
Fri ; 6hr, 7
(Thur) (8hr), 7
(Wed) 6HR, 7
0.6145833333333334, 7
News 1:30 AM, 7
Sunday Kuralt, 7
Comp 6PM, 7
Comp O'Reilly, 7
News #1 NBC AM, 7
(BookTV) (Sat/Sun) Over Nite, 7
NEWS I Lehrer I NBR I Niteline, 7
0.125, 7
Comp 2PM Bot, 7
2PM Top, 7
COMP, illegible, 7
Sat/Sun Over Nite, 6
[BLANK], 6
(Wed) 6hr, 6
2009, (FRI), 6
NEWS LEHRER NBR, 6
COMP; Bot, 6
2008 Primaries (Sat), 6
COMP (HOL), 6
? ?, 6
Book tv (sat), 6
Comp (Sat/Sun) Overnite (BookTV), 6
2010 (SAT), 6
2010 (MON), 6
2010, (TUE), 6
2010, (FRI), 6
L, 6
(SUN/MON) OVER NITE, 6
BookTV ; (SAT), 6
COMP [illegible], 6
SATURDAY, 6
NEWS 3 PM, 6
2009 (MON), 6
Apple, 6
IMUS, 6
Thanksgiving, 6
Lehrer, 6
(SAT) 6HRS, 6
2009 ; (FRI), 6
2010 (TUE), 6
TUES, 6
COMP ?, 6
(Sun) 6HR, 6
State of Union, 6
Sun/Mon Over Nite, 6
About Books, 6
Mac Expo, 6
COMP, [illegible], 6
COMP, (Sat), 6
COMP, Sat, 6
Fri/Sat Over Nite, 6
(Sat) (BookTV), 6
0.6458333333333334, 6
0.020833333333333332, 6
(Over Nite), 6
News ; 12M, 6
Mon 6hr, 6
News (Sat) 1PM, 6
(Thu), 6
Comp (Fri), 6
FRI/SAT, OVERNITE, 6
State of the Union, 6
News 2:30 AM, 6
Comp Imus, 6
Comp 7PM, 6
Comp 4PM, 6
BookTV (Sat/Sun) Over Nite, 6
Comp B Over Nite, 6
? Oct '92, 6
Comp B (Sat), 6
News fnn 4pm, 6
Fox News Over Nite, 6
East Enders [each date], 6
Computers / Media, 6
News PBS 12 Lehrer | NBR, 6
6PM | 10PM, 6
Comp (Hol), 6
Comp Daily Show 7AM, 6
News (?), 6
News 1:30 PM, 6
News 9, 6
Misc 11PM, 6
News (Sun) 1PM, 6
Comp 10PM, 6
News 9:30 PM, 6
Oct/Nov '91 ?, 6
CBS Morning, 6
OVERNIGHT, 5
??, 5
Sunday; fox 29, 5
Tue, 5
Sunday (Sun), 5
comp over nite, 5
comp (sat), 5
2008 elect, 5
C-SPAN 2, 5
2008 Primary (Sat), 5
(tue), 5
News; Lehrer; NBR; NL; PI, 5
BOOK TV, (SAT/SUN) OVERNITE, 5
CBS AM News, 5
2008 Prim (Sun), 5
COMEDY - ALL IN THE FAMILY, 5
Comp bot, 5
(THU), 5
(SUN) BOT, 5
COMP, (SAT/SUN) OVERNITE, 5
2009 (WED), 5
COMP, (illegible), 5
LEHRER; NBR, 5
Sat Nite Live, 5
ABOUT BOOKS, 5
Blizzard, 5
COMP (BOT), 5
SUNDAY 2008 CAMPN, 5
SUNDAY 2008 PRIM, 5
Y2K, 5
0.0625, 5
[illegible text], 5
2010; (THURS), 5
Comedy ; [illegible], 5
(H), 5
BLANK, 5
2008 CAMPN (Sat), 5
COMP / [illegible], 5
Mon 8hr, 5
News; 7am, 5
(Book TV) (Sat), 5
Book TV (contd) (Sun), 5
(Sat/Sun) Over Nite BookTV, 5
Comp (Mon), 5
0.9375, 5
TUES, 6 HRS, 5
Comp ; Daily Show, 5
Sat ; 6hr, 5
Mon ; 8hr, 5
(Mon) 6HR, 5
Sun ; 6hrs, 5
0.4791666666666667, 5
Comp ; BookTV, 5
8PM | 10PM, 5
News ; Lehrer | NBR [each date], 5
Thurs 6hr, 5
Sunday 2008 Prim, 5
BookTV (Sun/Mon) Over Nite, 5
News fnn 3pm, 5
News 10:30 PM, 5
News CBS AM, 5
0.3333333333333333, 5
News (Fri), 5
Apple New iPod, 5
News PBS 12 Lehrer | NBR | ABC-6 News | Niteline, 5
News PBS 12 Lehrer | NBR | ABC 6 News | Niteline, 5
News Thomas 3PM, 5
telecourses, 5
News Lehrer | NBR [each date], 5
Comp B Overnite, 5
News (2), 5
News Overnight 7AM, 5
0.6041666666666666, 5
Educ ?, 5
News (Mon), 5
News 3:30 PM, 5
News 10AM, 5
News (Hol) 3PM, 5
Misc PM, 5
News #2 MacNeil Lehrer, 5
News MacNeil Lehrer, 5
News 6:30 AM, 5
[illegible pencil], 5
News Misc, 5
Prim, 5
7 News, 5
Sunday Reliable Sources, 5
(Sun) Book TV, 4
2008 campn (mon), 4
2009 (sat), 4
Thurs, 4
(Sun) 6hr, 4
This Old House, 4
(Fri) 8HR, 4
Up to the minute, 4
comp; over nite, 4
2009, (SAT), 4
2009, (MON), 4
FOX NEWS, 4
STATE OF UNION, 4
HOUSE IRAQ DEBATE, 4
2008 prim (sat), 4
Comp (sun), 4
(Sat.), 4
COMP; illegible, 4
COMP (Sun.), 4
COMP; (Wed) 6 hr, 4
News; Book TV, 4
Book tv (sun), 4
2010, (MON), 4
DAILY SHOW, JOHN STEWART, 4
||, 4
AM News, 4
2008 Prim PA, 4
Cosby, 4
COMP, 3 PM, 4
2009 (TUE), 4
COMP (illegible), 4
Greenspan, 4
0.3125, 4
0.6284722222222222, 4
LARRY KING, 4
Sat/Sun Overnite, 4
FRI/SAT OVERNITE, 4
(SAT/SUN) OVERNIGHT, 4
LEHRER; NBR; WORK WK; WALL ST WK, 4
0.9791666666666666, 4
(MON) (6HR), 4
TUE 6HR, 4
thurs 6hr, 4
(WED) 6HRS, 4
(WEDS), 4
BOT, 6 AM, 4
TOP, 11 PM, 4
Fri; 8hr, 4
EAST ENDERS (NEW), 4
LEHRA, NBR, WAHR, 4
BOOK TV, SUN, 4
T, 4
Talk Back, 4
2008 CAMPN (Sun), 4
[illegiable], 4
2008 ELECTION, (SAT), 4
(Tues) 8hrs, 4
Sat 6hr, 4
fn, 4
COMP, Overnite, 4
Sunday Comp, 4
LABOR DAY, 4
BOOK TV, (Sat), 4
TECH TV, 4
Book TV (Sun/Mon) Overnite, 4
Comedy I Friends, 4
(Memorial Day), 4
0.3541666666666667, 4
Sunday ; Sunday Morning | Face The Nation, 4
(Sun/Mon) Over Nite BookTV, 4
Comp ; Imus, 4
(Sat) 11PM, 4
News ; 2AM, 4
News ; 2PM, 4
News ; 1AM, 4
0.8229166666666666, 4
MON 6 HR, 4
MON, 6 HR, 4
THURS, 6 HRS, 4
Comp ; 2PM, 4
Tue ; 8hr, 4
(Fri) 6HR, 4
(Thu) 8HR, 4
General Hospital | Dynasty, 4
(BookTV) Over Nite, 4
Comp ; 10PM, 4
Thurs ; 8hr, 4
Tues, 4
Senate, 4
(Sat) (8AM BookTV), 4
