Notes by Logger, N
NA, 72704
Partially illegible, 663
NO LABEL, 338
BLANK LABEL, 231
no channel, 100
Illegible, 96
two dates, one tape, 70
1 illeg, 64
Word illegible, 55
multiple dates, one tape, 53
No network, 52
no channel/network, 51
no start time, no channel, 47
missing channel, 40
no start time, 39
End time included/logged, 34
no date, 24
Last part illegible, 24
T. HANLEY, 24
T.HANLEY, 24
ILLEGIBLE LABEL, 24
2 illeg, 23
PARTIALLY ILLEGIBLE, 23
Note in box reads: News Dec '89 ; Docu & Sci Jan - Apr '98, 21
Blank label, 20
Last word illegible, 20
two dates/overnight tape, 20
no start time indicated, 20
Note in box reads: News Jun-Aug '90 Comedy Dec '89-May '90 Docs Dec '89 - May '90, 20
missing channel, best guess is C-SPAN, 18
hard to read, made some guesses, 17
No start time; no network, 17
No additional info on spine, 16
No start time, 15
many dates, one tape, 15
Note in box: 12/29/07 Tapes From Nomad In Hall, 15
Additional note illegible, 14
Blank tape, 14
illegible label, 14
upside down, 13
presumably 2003, 13
Additional notes illegible, 12
No Label, 12
Note in box reads News Oct '89, 12
post-it note in box reads: News Oct '92, 12
No label, 11
no channel indicated, 11
BLANK, 10
Note in box: August to September + November to December 2004 - Dining Room, 10
Note in box reads: April, May, June, July + August 2007 - Dining Room, 10
Note in box reads September, October, November 2004 - Dining Room, 10
note in box reads: December, November, October 2005 - Dining Room, 10
No start time indicated, 8
LABEL NO TAPE, 8
note in box reads: January, February, March, September, October + November 2007 - Dining Room, 8
post-it note in box reads: News Mar '92, 8
Note in box reads: 02-07-2008 Tapes from dining rm at doorway to living rm - may be defective, 8
additional notes illegible, 7
multiple dates on label, 7
LABELED MSMBC, 7
No date, 7
start time not indicated, 7
each show on each date, 7
presumably 1990, 7
Flipped over-unknown format, 6
Label illegible, 6
some text is illegible, 6
Illegible text on label, 6
very blurry photo hard to read in general, 6
illegible, 6
no writing on tape, 6
(Sat), 6
hard to read, made best guesses, 6
Unlabeled tape, 6
Times on tapes in this box appear to be runtimes, not start times, 5
No start time, no channel, 5
Nothing written on label, 5
1 illeg., 5
3 illeg, 5
no time, 5
no network, 5
Blank, 5
Illegible - Looks like C-FMM OR C-FNM?, 5
NO TAPE, ONLY LABEL, 5
Format details unknown, best guess SONY, 5
Unlabeled, 5
not sure if telecourses is a channel or the name of the program?, 5
presumably 2004, 5
post-it on tape, no label, 5
no label, 4
label faded, no start time, no channel, 4
Blurry Photo, 4
am/pm not indicated, 4
Illegible writing, 4
Illegible handwriting, 4
Illegilbe, 4
No time, 4
Question mark after date, 4
no channel listed, 4
EMPTY LABEL, 4
(Sun), 4
(SUN), 4
No date given, 4
some things had to read, made some guesses, 4
presumably 1985, 4
question mark next to date, 4
no information is listed, 4
presumably 1991, 4
tape may be damaged / label split down the middle, 4
post-it on loose tape, 4
presumably 1993, 4
info from post-it stuck on two blank betas, 4
1987.0, 4
additional note illegible, 3
Label also shows counterclockwise arrow and "FF", 3
blank label, 3
2 illeg., 3
blank spine, 3
BLANK SPINE, 3
can't make out some of the text, 3
nothing else listed, 3
blank, 3
much of the text has faded, 3
illegible description, 3
no start time, 2 dates, 3
date missing, 3
one date, three segments, 3
no network noted, but BookTV = CSPAN2, 3
label faded, 3
no year indicated, 3
some writing illegible, photo is blurry/unfocused. made a guess, 3
Illegible date, 3
Black tape over spine, 3
Some illegible, 3
UPSIDE DOWN, 3
more text, 3
blank / unlabelled tape, 3
NL=Night Line ; PI = Politically Incorrect, 3
NO TAPE, 3
MOSTLY ILLEGIBLE, 3
SOMEWHAT ILLEGIBLE, 3
date hard to read, 3
no date on label, 3
hard to read, made best guess, 3
NO TAPE, JUST A LABEL, 3
OUT OF FOCUS / CANNOT READ LABEL, 3
near note reading 3 CRUSHED TAPES, 3
presumably 1988, 3
very hard to read pencil, 3
tape no case, 3
post-it note on tape, 3
LABEL, NO TAPE, 3
Date is hard to read - might be inaccurate, 2
Appears to be a blank tape., 2
No label., 2
Mostly illegible, 2
Additonal note illegible, 2
some words covered by memo, 2
blank tape, no label, 2
Part of label illegible, 2
One word illegible, 2
No writing on label, 2
most writing illegible, 2
Label But No Case, 2
4 illeg., 2
JVC crossed out and VVEX written above, 2
No Date- only time on label, 2
much of the text is illegible, 2
a lot of the text is illegible, 2
Label mostly illegible, 2
not sure of label content, 2
Tons of inscrutable writing on this label!, 2
Upside down, 2
no start time, no channel, multiple dates on label, 2
no channel/network ; no indication of AM/PM, 2
date mildly illegible/questionable, 2
three dates, one tape, 2
overnight ; two dates, one tape, 2
written in pencil!, 2
hard to read, 2
No Date, 2
no description, 2
Illegible writiing, 2
Illegible hand writing, 2
Some illegible; first date could be wrong (illegible), 2
more text on label that's crossed out, 2
