...1, N
NA, 72021
MS-0035_1-3, 26
MS-0351_2-3, 25
MS-0001_1-3, 24
MS-0001_2-3, 24
MS-0002_1-2, 24
MS-0004_1-2, 24
MS-0004_2-2, 24
MS-0005_1-2, 24
MS-0005_2-2, 24
MS-0006_1-2, 24
MS-0006_2-2, 24
MS-0009_2-3, 24
MS-0010_2-3, 24
MS-0011_1-2, 24
MS-0011_2-2, 24
MS-0012_1-3, 24
MS-0012_2-3, 24
MS-0013_1-2, 24
MS-0016_1-2, 24
MS-0016_2-2, 24
MS-0017_1-3, 24
MS-0017_2-3, 24
MS-0019_2-3, 24
MS-0022_1-3, 24
MS-0022_2-3, 24
MS-0027_1-3, 24
MS-0030_1-3, 24
MS-0030_2-3, 24
MS-0032_1-3, 24
MS-0032_2-3, 24
MS-0033_1-3, 24
MS-0033_2-3, 24
MS-0035_2-3, 24
MS-0037_1-3, 24
MS-0037_2-3, 24
MS-0039_2-3, 24
MS-0040_1-3, 24
MS-0040_2-3, 24
MS-0041_1-3, 24
MS-0041_2-3, 24
MS-0309_2-3, 24
MS-0310_2-3, 24
MS-0311_2-3, 24
MS-0313_2-3, 24
MS-0314_2-3, 24
MS-0315_2-3, 24
MS-0316_2-3, 24
MS-0317_2-3, 24
MS-0318_2-3, 24
MS-0319_2-3, 24
MS-0320_2-3, 24
MS-0321_2-3, 24
MS-0322_2-3, 24
MS-0324_2-3, 24
MS-0325_2-3, 24
MS-0326_2-3, 24
MS-0327_2-3, 24
MS-0329_2-3, 24
MS-0331_2-3, 24
MS-0332_2-3, 24
MS-0334_2-3, 24
MS-0337_2-3, 24
MS-0339_2-3, 24
MS-0340_2-3, 24
MS-0341_2-3, 24
MS-0342_2-3, 24
MS-0345_2-3, 24
MS-0346_2-3, 24
MS-0347_2-3, 24
MS-0348_2-3, 24
MS-0349_2-3, 24
MS-0350_2-3, 24
MS-0352_2-3, 24
MS-0353_2-3, 24
MS-0354_2-3, 24
MS-0355_2-3, 24
MS-0356_2-3, 24
MS-0002_2-2, 23
MS-0009_1-3, 23
MS-0025_1-3, 23
MS-0038_1-3, 23
MS-0323_2-3, 23
MS-0343_2-3, 23
MS-0003_1-3, 22
MS-0003_2-3, 22
MS-0007_1-2, 22
MS-0008_1-2, 22
MS-0010_1-3, 22
MS-0014_1-2, 22
MS-0014_2-2, 22
MS-0018_1-3, 22
MS-0018_2-3, 22
MS-0019_1-3, 22
MS-0020_1-3, 22
MS-0020_2-3, 22
MS-0021_1-3, 22
