channel_network, N
NA, 21567
CNN, 11534
CSPAN, 7456
MSNBC, 6014
FOX, 3717
CNBC, 3656
C-SPAN, 2780
CSPAN2, 1353
COMP, 1248
CFNN, 1102
FNN, 976
CBS, 642
C-SPAN 2, 641
NBC, 581
ABC, 572
CNNFN, 572
PBS-12, 519
BBC, 483
ABC-6, 436
PBS, 300
MS-NBC, 285
PBS-12 ; ABC-6, 258
C-NBC, 233
NBC-3, 226
Fox, 217
CSPAN 2, 206
CBS-10, 198
PBS 12, 189
BBC ; CSPAN, 189
PBS-2, 184
ABC-5, 175
CNNfn, 159
FOX NEWS, 152
NBC-4, 135
CSPAN ; CNN, 134
Comp, 120
C-Span, 100
NBC-10, 97
E, 93
CH-5, 92
N/A, 80
FOX-29, 77
CSPAN ; CSPAN2, 76
MS NBC, 75
ABC 6, 72
CBS-7, 71
TECH TV, 70
CNN-FN, 65
CBS-3, 63
HBO, 62
C-SPAN2, 62
FOX 29, 58
TLC, 55
Comedy Central, 52
CBS 3, 52
PBS / ABC, 52
CH-2, 52
NBC 10, 46
CNNFN ; MSNBC, 46
CBS-4, 45
Nickelodeon, 45
NBC-7, 42
ABC-6 ; PBS-12, 42
CH-4, 40
E ; CNBC, 40
CH-5 ; ABC, 38
CNN ; CNBC, 36
CSPAN ; CNBC, 36
CNN ; CSPAN, 35
COMP-B, 33
FOX ; CNN, 33
CSPAN ; MSNBC, 32
CSpan, 31
C-SPAN; CNN, 31
CNBC ; CNN, 31
ABC-6 ; CBS-10, 31
FOX ; MSNBC, 30
CH-7, 30
COMEDY CENTRAL, 29
MSNBC ; FOX, 29
CBS-3 ; ABC-6 ; PBS-12, 27
COMP; CNBC, 27
PBS-2 ; ABC-5, 27
CBS ; ABC, 26
CNN; COMP, 25
NBC-4 ; ABC-5, 25
ABC-5 ; PBS-2, 25
NBC CH4, 24
NBC-3 ; ABC-6, 24
Fox 29, 23
COMP B, 23
CH-6, 22
PBS-12; ABC-6, 21
C SPAN, 21
CBS-3 ; NBC-10 ; PBS-12, 21
CSPAN2 ; CNN, 21
ABC-6 ; CBS-10 ; PBS-12, 21
OJ NEWS, 20
CSPAN, CNN, 20
MSNBC ; CNN, 20
A&E-30, 20
CBS ; NBC, 20
CNBC ; FNN, 20
C-Span 2, 19
ABC ; CBS, 19
C-FNN, 19
CNN-fn, 19
CSpan 2, 18
COMP; C-SPAN, 18
CNBC ; CSPAN, 18
CNN ; CSPAN2, 18
ABC-5 ; NBC-7, 18
Fox News, 17
Comp; C-SPAN, 17
CNN-8, 17
NBC-10 ; ABC-6, 17
CNN ; FOX, 17
CBS ; CH-5, 17
FOX-25, 16
CNN-FN; MSNBC, 16
NBC ; CBS, 16
CBS-3 ; ABC-6, 16
ABC-5 ; CBS-7, 16
CBS-10 ; PBS-12, 16
CNBC; COMP, 15
CSPAN2 ; CSPAN, 15
CSPAN ; ABC-6, 15
MSNBC ; CNBC, 15
CNN ; MSNBC, 15
ABC-6 ; CNN, 15
CH-12, 15
CNN ; PBS-2, 15
NBC-10 ; CBS-3, 14
CMM FH, 14
BBC, CSPAN, 14
CNN ; PBS, 14
CSPAN ; BBC, 14
ABC-6 ; NBC-3, 14
CBS-10 ; ABC-6, 14
CBS-7 ; ABC-5, 14
E ; CNN, 14
CSpan2, 13
CNBC-38, 13
Comedy, 12
BBC; C-SPAN, 12
Comp; MSNBC, 12
CSPAN; CNN, 12
COMP; CSPAN, 12
CSPAN ; PBS-12, 12
FOX-11, 12
CNBC ; MSNBC, 12
ABC-5 ; NBC-4, 12
CH-10, 12
CNN ; ABC-5, 12
CFNN ; CSPAN2, 12
C-FMM, 11
Comp; CNN, 11
CBS-3 ; NBC-10, 11
FOX-29 ; NBC-10 ; PBS-12, 11
CFNN ; CSPAN, 11
CFNN ; CNN, 11
CH-7 ; CBS, 11
FNN ; CNN, 11
CSPAN-2, 10
NOVA, 10
FOX29, 10
C-SPAN; C-SPAN 2, 10
COMP; MSNBC, 10
CNBC ; CSPAN2, 10
CBS-3 ; PBS-12, 10
CSPAN2 ; CNBC, 10
CH-44, 10
NBC-7 ; ABC-5, 10
ABC-6 ; FNN, 10
NBC-3 ; FNN, 10
TLC-32, 10
ABC-6 ; PBS-12 ; CNN, 10
CH-3, 10
FOX News, 9
C-SP, 9
CBS 10, 9
CNN FN, 9
CBS 3; NBC 10; PBS 12, 9
NBC 3, 9
CNBC ; FOX, 9
PBS-12 ; CNN, 9
CNN, CSPAN, 9
MSNBC ; CSPAN, 9
FOX-25 ; ABC-5, 9
CH-38, 9
NBC ; ABC, 9
NBC-3 ; CBS-10, 9
NBC-3 ; ABC-6 ; PBS-12, 9
PBS-2 ; CNN, 9
FOX ; BBC ; CSPAN, 9
FOX/MSNBC, 8
NBC Ch 4, 8
CNN, CNBC, 8
ABC-6 ; CBS-3, 8
ABC-6 ; NBC-10, 8
CBS-4 ; PBS-2, 8
CNN ; FNN, 8
ABC ; NBC, 7
COMP TECH TV, 7
CNN; MSNBC, 7
CompB, 7
FOX/CNN, 7
FOX / MSNBC, 7
CC, 7
PBS ; CNN, 7
CSPAN, MSNBC, 7
MSNBC ; CNNFN, 7
CNN ; ABC, 7
CNN ; ABC-6, 7
NBC-3 ; PBS-12, 7
CBS-4 ; ABC-5, 7
PBS-2 ; CBS-7, 7
NBC ; CNN, 7
CSPAN ; ABC-5, 7
CBS-10 ; CNN, 7
CNN ; NBC, 7
NBC-3 ; CNN, 7
TECH TV 42, 6
MSNBC; CNN, 6
CNN; CNBC, 6
C-SPAN/CNN, 6
CNN, COMP, 6
ABC-6 ; CBS, 6
CBS-3 ; NBC-10 ; ABC-6, 6
Comp; BBC, 6
CBS ; CNN, 6
NEWS; CNN, 6
FOX ; CSPAN2, 6
ABC ; CNN, 6
CBS-10 ; NBC-3, 6
CH-2 ; CH-44, 6
ABC ; CH-5, 6
CBS ; ABC ; CH-5, 6
PBS-44, 6
CBS-4 ; NBC-7, 6
CBS-7 ; PBS-2, 6
CBS-3 ; ABC-6 ; CNNFN, 6
MSNBC ; BBC, 6
CBS-10 ; ABC-6 ; PBS-12, 6
CH-6 ; CNN, 6
FOX ; BBC, 6
PBS-2 ; CSPAN, 6
JCN, 6
PBS-12 ; ABC-6 ; CNN, 6
CSPAN ; NBC-7, 6
NBC ; PBS, 6
CBS-7 ; NBC-4, 6
FOX ; CNBC, 6
CNN / MSNBC, 5
PBS / CBS, 5
FOX; MSNBC, 5
NBC-6, 5
?, 5
ESPN, 5
Food Network, 5
NBC / ABC, 5
C SPAN 2, 5
ABC CH5, 5
CBS CH7, 5
CNBC 23, 5
CNN; C-SPAN, 5
Comp; CNBC, 5
C-SPAN2; COMP, 5
COMP; CNN, 5
PBS 12 (11), 5
BOOK TV, 5
FOOD NETWORK, 5
2 / C-SPAN, 5
NBC 10 (9), 5
FOX, CNN, 5
BLANK, 5
CBS-2, 5
CNBC / CNN, 5
CSPAN ; CNN ; CNBC, 5
PBS-12 ; CSPAN, 5
FOX ; NBC-10 ; PBS-12, 5
MSNBC ; FOX ; PBS-12, 5
PBS-12 ; CBS-10, 5
CH-59, 5
CNNFN ; CSPAN2, 5
ABC-5 ; FOX-25, 5
NBC-4 ; PBS-2, 5
NBC-4 ; CBS-7, 5
CSPAN ; CSPAN2 ; CNN, 5
CNBC ; PBS-12, 5
ABC-6 ; NBC, 5
telecourses, 5
CSPAN ; E, 5
PBS-11, 5
BET, 5
CNN ; CNNFN, 5
NBC-3 ; ABC-6 ; CNN, 5
PBS 2, 4
BKTV, 4
ABC; PBS, 4
CNN/FOX, 4
FOX 25, 4
MSNBC/FOX, 4
CH4, 4
NBC Ch4, 4
CBS 3, ABC 6, PBS 12, 4
PBS - 12, 4
ABC 6; NBC 10, 4
FOX 29 (11), 4
CBS 3; ABC 6; PBS 12, 4
C-SPAN; CNBC, 4
C-SPAN 1, 4
PBS-12 ; ABC, 4
CBS-3 ; ABC-6 ; CNN, 4
[illegible], 4
CNBC, FOX, 4
